id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,4,4,4,4
10539,4,4,5,5
10174,5,5,4,4
10465,4,5,5,5
10066,5,4,4,4
10425,4,3,5,4
10398,5,5,5,5
10346,4,4,5,5
10281,4,3,4,5
10158,4,3,4,4
10877,3,5,4,4
10067,5,4,5,5
10235,4,4,4,4
10767,5,5,5,5
10483,4,4,4,4
10679,4,4,5,4
10076,4,5,5,5
10800,4,4,3,4
10855,5,5,5,5
10706,5,5,5,5
10088,5,3,5,5
10096,5,5,5,5
10643,4,4,4,4
10305,5,4,4,4
10275,3,3,4,4
10759,5,4,5,5
10355,4,4,5,5
10844,4,5,4,4
10693,4,4,4,4
10882,4,4,5,4
10023,4,4,4,4
10030,4,5,5,5
10677,4,3,3,4
10923,4,5,4,5
10405,5,5,5,5
10531,4,5,4,4
10959,3,4,4,3
10294,4,3,4,4
10829,5,5,5,5
10850,5,5,5,5
10259,5,4,5,5
10874,4,4,4,4
10328,5,4,4,4
10333,5,4,4,5
10634,5,5,6,5
10774,4,4,4,4
10754,5,4,5,5
10120,4,5,4,4
10790,4,3,4,4
10323,5,6,5,5
10728,4,4,4,4
10842,5,4,5,5
10039,4,4,3,4
10789,4,3,4,4
10952,4,3,4,4
10310,4,5,4,4
10314,4,3,4,4
10059,3,3,4,3
10972,4,3,4,4
10494,4,4,4,4
10464,5,5,5,4
10722,4,5,5,4
10673,5,5,5,5
10692,5,5,4,4
10479,4,4,4,3
10680,5,4,5,5
10793,4,4,4,4
10070,5,5,5,5
10136,4,4,4,4
10307,5,5,5,5
10849,3,1,3,3
10714,4,4,5,4
10633,5,5,4,4
10580,5,4,4,4
10481,6,5,5,5
10063,5,5,5,5
10822,4,4,3,3
10359,5,5,5,5
10585,3,4,5,4
10801,5,4,5,4
10299,4,3,5,4
10350,4,3,4,3
10362,5,5,5,5
10237,4,3,4,4
10351,3,1,3,3
10695,4,4,4,4
10672,4,4,4,4
10298,4,4,4,3
10086,5,5,5,5
10913,4,3,3,4
10432,5,5,5,4
10290,4,3,4,4
10107,5,5,5,4
10969,3,3,3,4
10254,5,4,5,4
10215,5,5,4,4
10544,5,5,4,5
10319,4,4,3,4
10525,5,4,5,5
10630,5,5,5,5
10953,5,5,5,5
10749,4,4,4,4
10534,5,5,5,5
10827,4,4,4,4
10798,4,3,4,4
10514,4,4,4,4
10055,5,5,5,5
10497,5,5,5,5
10218,4,4,5,5
10486,5,4,5,4
10072,5,5,5,5
10527,4,5,5,5
10044,5,4,5,5
10261,6,4,5,5
10209,3,4,4,4
10678,4,4,5,5
10493,4,4,4,4
10442,4,5,5,4
10277,4,4,4,4
10423,5,5,5,4
10231,5,5,5,5
10718,5,5,5,5
10947,5,4,5,5
10757,4,3,4,4
10660,5,3,4,4
10655,5,4,5,5
10309,4,3,5,4
10453,4,4,5,4
10703,4,4,4,4
10636,4,4,4,5
10916,4,5,5,4
10213,4,4,4,4
10482,5,5,1,5
10060,4,3,4,4
10687,4,4,4,4
10713,4,3,3,4
10429,4,4,5,4
10139,4,5,4,4
10781,5,5,4,4
10605,4,4,4,3
10280,4,4,4,4
10311,4,4,4,4
10615,4,4,4,4
10450,4,3,4,4
10110,4,4,5,5
10622,4,3,4,3
10456,4,3,4,5
10316,5,5,5,5
10891,4,3,5,4
10868,5,4,4,4
10198,4,4,5,5
10377,4,3,4,4
10638,4,4,4,4
10617,5,4,4,4
10559,4,3,4,4
10669,5,5,5,5
10137,4,3,4,4
10332,4,4,5,4
10394,4,3,5,4
10184,5,5,5,5
10881,4,4,3,4
10449,4,5,5,5
10788,3,3,3,4
10168,5,5,5,5
10951,4,4,3,3
10382,4,5,4,4
10696,4,4,5,4
10078,5,5,5,5
10029,4,3,3,4
10260,5,5,5,5
10331,5,5,5,5
10859,5,4,5,5
10626,5,4,4,4
10165,4,4,5,4
10731,4,5,4,3
10898,5,5,5,5
10065,5,4,5,4
10141,3,4,4,4
10210,5,5,5,5
10746,4,4,4,4
10292,4,4,4,4
10847,3,4,4,4
10266,5,5,5,4
10371,4,5,5,4
10810,5,4,5,5
10581,5,4,5,5
10900,5,5,5,5
10049,4,4,4,4
10708,5,4,5,4
10904,5,5,4,4
10490,4,4,3,4
10327,5,5,5,5
10879,5,1,5,4
10521,4,5,4,4
10925,4,4,3,4
10968,4,4,4,4
10365,4,4,4,4
10936,4,4,5,4
10033,4,3,4,4
10031,4,4,4,4
10823,3,4,3,4
10192,5,5,5,5
10312,4,4,5,5
10807,4,4,4,3
10552,5,5,5,5
10558,3,3,5,5
10921,4,3,4,4
10109,5,4,4,4
10440,4,4,4,4
10077,5,4,5,5
10783,4,4,3,4
10542,4,3,4,4
10082,5,3,5,5
10361,4,3,4,4
10485,4,3,4,4
10507,5,5,5,5
10628,5,3,4,5
10500,5,4,5,5
10905,4,4,4,4
10002,4,4,5,4
10101,5,4,5,5
10363,6,5,5,4
10451,3,4,3,4
10286,4,3,4,4
10208,5,3,3,4
10265,4,4,5,5
10005,5,4,5,5
10054,5,4,5,5
10715,5,5,5,5
10848,3,3,4,4
10971,5,5,5,5
10436,4,3,3,4
10097,4,3,3,4
10589,5,5,5,4
10204,4,3,4,4
10244,5,5,5,5
10620,5,4,4,4
10934,5,4,6,5
10519,4,4,4,4
10334,3,4,5,4
10845,4,4,3,4
10025,5,5,4,5
10084,4,4,4,4
10010,4,4,4,4
10635,4,5,5,4
10422,5,5,5,5
10795,5,4,4,4
10357,5,5,5,5
10802,5,3,5,4
10529,3,4,3,4
10468,4,4,5,4
10247,3,3,3,4
10118,5,5,5,5
10342,5,4,4,5
10541,4,4,4,4
10250,3,4,4,4
10318,4,4,4,4
10843,4,5,5,5
10196,4,4,4,4
10588,4,3,3,4
10081,5,5,5,5
10352,3,5,5,5
10583,5,4,4,4
10603,4,4,3,4
10239,4,5,5,4
10761,4,4,5,4
10211,4,4,5,4
10930,4,3,3,4
10963,4,4,4,4
10420,4,3,4,4
10227,3,5,4,4
10833,4,4,4,4
10752,4,4,5,5
10907,5,5,4,4
10743,4,4,3,4
10380,4,4,4,4
10478,4,4,4,4
10439,4,4,4,4
10296,4,4,4,4
10344,5,4,5,5
10007,5,4,5,4
10155,5,4,4,4
10526,5,5,5,5
10411,4,4,3,4
10513,4,5,4,4
10837,4,4,5,5
10758,4,4,4,4
10551,5,5,5,5
10433,4,5,4,4
10893,5,5,5,5
10909,3,3,3,4
10889,3,3,3,4
10613,4,4,4,4
