id,Systemic thinking
10199,4
10539,4
10174,5
10465,5
10066,4
10425,3
10398,5
10346,4
10281,3
10158,3
10877,5
10067,4
10235,4
10767,5
10483,4
10679,4
10076,5
10800,4
10855,5
10706,5
10088,3
10096,5
10643,4
10305,4
10275,3
10759,4
10355,4
10844,5
10693,4
10882,4
10023,4
10030,5
10677,3
10923,5
10405,5
10531,5
10959,4
10294,3
10829,5
10850,5
10259,4
10874,4
10328,4
10333,4
10634,5
10774,4
10754,4
10120,5
10790,3
10323,6
10728,4
10842,4
10039,4
10789,3
10952,3
10310,5
10314,3
10059,3
10972,3
10494,4
10464,5
10722,5
10673,5
10692,5
10479,4
10680,4
10793,4
10070,5
10136,4
10307,5
10849,1
10714,4
10633,5
10580,4
10481,5
10063,5
10822,4
10359,5
10585,4
10801,4
10299,3
10350,3
10362,5
10237,3
10351,1
10695,4
10672,4
10298,4
10086,5
10913,3
10432,5
10290,3
10107,5
10969,3
10254,4
10215,5
10544,5
10319,4
10525,4
10630,5
10953,5
10749,4
10534,5
10827,4
10798,3
10514,4
10055,5
10497,5
10218,4
10486,4
10072,5
10527,5
10044,4
10261,4
10209,4
10678,4
10493,4
10442,5
10277,4
10423,5
10231,5
10718,5
10947,4
10757,3
10660,3
10655,4
10309,3
10453,4
10703,4
10636,4
10916,5
10213,4
10482,5
10060,3
10687,4
10713,3
10429,4
10139,5
10781,5
10605,4
10280,4
10311,4
10615,4
10450,3
10110,4
10622,3
10456,3
10316,5
10891,3
10868,4
10198,4
10377,3
10638,4
10617,4
10559,3
10669,5
10137,3
10332,4
10394,3
10184,5
10881,4
10449,5
10788,3
10168,5
10951,4
10382,5
10696,4
10078,5
10029,3
10260,5
10331,5
10859,4
10626,4
10165,4
10731,5
10898,5
10065,4
10141,4
10210,5
10746,4
10292,4
10847,4
10266,5
10371,5
10810,4
10581,4
10900,5
10049,4
10708,4
10904,5
10490,4
10327,5
10879,1
10521,5
10925,4
10968,4
10365,4
10936,4
10033,3
10031,4
10823,4
10192,5
10312,4
10807,4
10552,5
10558,3
10921,3
10109,4
10440,4
10077,4
10783,4
10542,3
10082,3
10361,3
10485,3
10507,5
10628,3
10500,4
10905,4
10002,4
10101,4
10363,5
10451,4
10286,3
10208,3
10265,4
10005,4
10054,4
10715,5
10848,3
10971,5
10436,3
10097,3
10589,5
10204,3
10244,5
10620,4
10934,4
10519,4
10334,4
10845,4
10025,5
10084,4
10010,4
10635,5
10422,5
10795,4
10357,5
10802,3
10529,4
10468,4
10247,3
10118,5
10342,4
10541,4
10250,4
10318,4
10843,5
10196,4
10588,3
10081,5
10352,5
10583,4
10603,4
10239,5
10761,4
10211,4
10930,3
10963,4
10420,3
10227,5
10833,4
10752,4
10907,5
10743,4
10380,4
10478,4
10439,4
10296,4
10344,4
10007,4
10155,4
10526,5
10411,4
10513,5
10837,4
10758,4
10551,5
10433,5
10893,5
10909,3
10889,3
10613,4
